OBJECTID,Incident Name,Incident Type Category,Unique Fire Identifier,Daily Acres,Calculated Acres,Percent Contained,ICS209 Report Date Time,Fire Discovery Date Time,Discovery Acres,Point of Orgin County,Point of Orgin State,Cause,Cause General,Geographic Area Coordination Center,Total Incident Personnel,Incident Mgmt Organization,Mgmt Complexity,Residences Destroyed,Other Structures Destroyed,Injuries,Fatalities,Predominant Fuel Group,Predominant Fuel Model,Primary Fuel Model,Containment Date Time,Control Date Time,Final Acres,Is Valid,Fire Out Date Time,Modified On Date Time,Incident Type Kind,IRWIN ID,Global ID,Days Since Modified On Date,Days Since Fire Discovery Date,x,y
1,FA 928,WF,2023-AZGID-000928,0.01,,,,8/27/2023 12:55:14 AM,0.01,Pinal,US-AZ,Undetermined,,SWCC,,,,,,,,,,,,,,1,,2/29/2024 5:01:26 PM,FI,8d40da13-fce7-42e5-8a89-0383549eafd4,81b61896-3c35-49ad-9739-4a86dc19eebd,2,189,-111.1496,32.7761
2,LONGSHANKS RX,RX,2023-CAENF-028452,34,,,,10/16/2023 3:45:07 PM,0.01,Placer,US-CA,Undetermined,,ONCC,,,,,,,,,,,,,,1,,2/29/2024 9:35:16 PM,FI,a65a6d7d-4b66-4326-9870-39d51060206d,e273de72-24ee-45da-9683-4b89902f4e89,2,138,-120.5318,38.958133
3,GRIZZLY FLAT FUEL BREAK RX,RX,2023-CAENF-030191,200,,,,11/2/2023 6:32:41 PM,0.01,El Dorado,US-CA,Undetermined,,ONCC,,,,,,,,,,,,,,1,,2/20/2024 11:32:37 PM,FI,08eab127-1745-48ef-8d8e-d05f347a0ab3,831a6da6-44cf-4fd2-a07e-d4bed8b8eb46,11,121,-120.418217,38.646217
4,RX - Delay,RX,2023-ORUPF-230437,0.1,,,,10/30/2023 11:38:00 PM,0.1,Douglas,US-OR,Undetermined,,NWCC,,,,,,,,,,,,,,1,,3/1/2024 9:21:08 PM,FI,a6e228b7-d143-47d5-a60d-83b696e4299d,43e3b9c3-9cfd-4afc-a6db-3358e96dc815,1,124,-122.216281,43.2635090000001
5,HLF 49 RX Pile Burn,RX,2024-MTHDC-000009,225,,,,1/4/2024 4:12:00 PM,0.1,Jefferson,US-MT,Undetermined,,NRCC,,,,,,,,,,,,,,1,,3/1/2024 9:20:23 PM,FI,7e5d235f-7f45-421a-a46f-90ca94ef6d1e,4fc62fb3-6066-4ea7-890d-9d4cf344eef0,1,58,-112.126333,46.5183170000001
6,D4 RX District Wide Piles,RX,2024-NMGNF-000016,56,,,,1/5/2024 7:06:46 PM,20,Grant,US-NM,Undetermined,,SWCC,,,,,,,,,,,,,,1,,3/1/2024 9:19:59 PM,FI,11dfe5f9-4e46-4be3-8927-278f6bcfb690,08c0dea6-97cd-4833-9388-151814876617,1,57,-108.983774,32.9923230000001
7,North Hualapai Piles Rx,RX,2024-AZCRD-000023,,,,,1/5/2024 9:01:09 PM,30,Mohave,US-AZ,Undetermined,,SWCC,,,,,,,,,,,,,,1,,3/1/2024 3:19:16 PM,FI,e7751e1f-dfeb-411d-99b7-a0ac98337ba3,fec81c28-0524-49ba-9937-f856d5e60fb5,1,57,-113.893732,35.0989270000001
8,RX - O54 Sina Branch,RX,2024-TNCNF-000014,250,,,,1/8/2024 7:30:42 PM,50,Polk,US-TN,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/29/2024 9:32:52 PM,FI,e0e682a3-557f-44ba-9229-48d66ae3703d,9f6ef3d8-f335-4a2e-b666-bd67ec3ee54d,2,54,-84.6680259999999,35.0216590000001
9,RX - O43 Island Creek/O44 Johnson Creek,RX,2024-TNCNF-000017,1200,,,,1/9/2024 5:28:00 PM,70,Polk,US-TN,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/23/2024 5:55:46 PM,FI,fdfafc41-2cd9-48db-b87f-eeee5e54f5cc,a944fd66-bf4a-4472-b8f2-af7e6af9c230,8,53,-84.601433,35.0949670000001
10,RX - O62 Sheeds Creek,RX,2024-TNCNF-000018,1000,,,,1/9/2024 5:32:12 PM,10,Polk,US-TN,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/26/2024 10:50:50 PM,FI,4bb482dd-1e72-429d-bc04-e8049b6c16d2,e5ac79c8-6efd-4c6d-8f5b-8e294b5adf06,5,53,-84.5981879999999,35.0088710000001
11,RX - T24 Hemlock,RX,2024-TNCNF-000022,100,,,,1/9/2024 6:07:24 PM,100,Monroe,US-TN,Undetermined,,SACC,,,,,,,,,,,,,,1,,2/20/2024 9:02:14 PM,FI,e50b2e27-e938-49f8-ac7d-b32f557da2d1,99c9db45-8125-4164-9d87-7faebf5d5ba9,11,53,-84.133182,35.344052
